Year,Region,Sex,Age group,Value
2008,,,,1.0028504892907537
2009,,,,0.9572684671944258
2010,,,,0.8158133174385706
2011,,,,0.9307081464378409
2012,,,,0.8696330572326862
2013,,,,0.6458088704625025
2014,,,,0.7554559399519035
2015,,,,0.7018887442141406
2016,,,,0.6900433027306491
2008,,,,1.0028504892907537
2009,,,,0.9572684671944258
2010,,,,0.8158133174385706
2011,,,,0.9307081464378409
2012,,,,0.8696330572326862
2013,,,,0.6458088704625025
2014,,,,0.7554559399519035
2015,,,,0.7018887442141406
2016,,,,0.6900433027306491
2008,,Male,,1.372909065269054
2008,,Female,,0.5995593904657178
2008,London,,,1.7664766509548382
2008,East Midlands,,,1.2834585831292746
2008,East of England,,,0.963500836493908
2008,North West,,,1.7676103933766634
2008,South East,,,0.9849996421959131
2008,South West,,,0.8453338722977174
2008,West Midlands,,,0.745964513922245
2008,Yorkshire and The Humber,,,1.1733759082843225
2008,North East,,,0.7005766524267975
2008,London,Male,,2.4430706070796546
2008,London,Female,,1.0593904368320797
2008,East Midlands,Male,,1.6447804263819124
2008,East Midlands,Female,,0.7547561848939545
2008,East of England,Female,,0.6885193529019713
2008,East of England,Male,,1.2127412017409256
2008,North West,Female,,1.04244791563948
2008,North West,Male,,2.4932469672583877
2008,South East,Female,,0.5586784647143337
2008,South East,Male,,1.3315427714537567
2008,South West,Female,,0.6018635199235634
2008,South West,Male,,1.020955504403067
2008,West Midlands,Female,,0.5015612886399234
2008,West Midlands,Male,,0.9611986294786311
2008,Yorkshire and The Humber,Female,,0.49103261136430765
2008,Yorkshire and The Humber,Male,,1.8814727070825294
2008,North East,Female,,0.45563275999544367
2008,North East,Male,,0.9581129008305243
2008,,,0 to 20,0.33003229112097626
2008,,Male,0 to 20,0.29824108591567655
2008,,Female,0 to 20,0.3502466579658478
2008,London,,0 to 20,0.6437058442548759
2008,East Midlands,,0 to 20,0.3546951439574579
2008,East of England,,0 to 20,0.2771263384336127
2008,North West,,0 to 20,0.7228189494215781
2008,South East,,0 to 20,0.42018376036453275
2008,West Midlands,,0 to 20,0.20655068616137942
2008,North East,,0 to 20,0.4670416492174717
2008,London,Male,0 to 20,0.3903535822748246
2008,London,Female,0 to 20,0.9046644499037034
2008,East Midlands,Male,0 to 20,0.5199910561538341
2008,North West,Female,0 to 20,0.5683529699284444
2008,North West,Male,0 to 20,0.8707208153429715
2008,South East,Female,0 to 20,0.38290849635662566
2008,South East,Male,0 to 20,0.45567054654948036
2008,,,21 to 40,1.8546384180941604
2008,,Female,21 to 40,1.2160183380287775
2008,,Male,21 to 40,2.402948822662139
2008,London,,21 to 40,2.5890013547924897
2008,East Midlands,,21 to 40,2.2512654709560778
2008,East of England,,21 to 40,1.4242154607404836
2008,North West,,21 to 40,3.6945658912243737
2008,South East,,21 to 40,1.8671882649494604
2008,South West,,21 to 40,1.8861370498616048
2008,West Midlands,,21 to 40,1.1027919245304347
2008,Yorkshire and The Humber,,21 to 40,2.6535338257431507
2008,North East,,21 to 40,1.0691609682932677
2008,London,Male,21 to 40,3.4696578421702213
